json,text,label,Prompt
"{'departure_city': 'Карабаш', 'arrival_city': 'Токмак', 'departure_date': '', 'return_date': '20-05-2023'}"," Я живу в Карабаше и хочу купить билет в Токмак 20-05-2023. Пожалуйста, подскажите цену и авиакомпанию.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я живу в Карабаше и хочу купить билет в Токмак 20-05-2023. Пожалуйста, подскажите цену и авиакомпанию.
Ответ: {'departure_city': 'Карабаш', 'arrival_city': 'Токмак', 'departure_date': '', 'return_date': '20-05-2023'}"
"{'departure_city': 'Игуату', 'arrival_city': 'Яворов', 'departure_date': '12-08-2023', 'return_date': '06-09-2023'}", Я хочу купить билет из Игуату в Яворов с датой отправления 12-08-2023 и возвращения 06-09-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет из Игуату в Яворов с датой отправления 12-08-2023 и возвращения 06-09-2023.
Ответ: {'departure_city': 'Игуату', 'arrival_city': 'Яворов', 'departure_date': '12-08-2023', 'return_date': '06-09-2023'}"
"{'departure_city': 'Михайловка', 'arrival_city': 'Сентес', 'departure_date': '27-03-2024', 'return_date': '14-04-2024'}", Я хочу купить билет в авиакомпанию с Михайловки в Сентес 27-03-2024 по 14-04-2024.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в авиакомпанию с Михайловки в Сентес 27-03-2024 по 14-04-2024.
Ответ: {'departure_city': 'Михайловка', 'arrival_city': 'Сентес', 'departure_date': '27-03-2024', 'return_date': '14-04-2024'}"
"{'departure_city': 'Мичиган-Сити', 'arrival_city': 'Слэйден', 'departure_date': '23-10-2024', 'return_date': ''}"," Я хочу купить билет в Мичиган-Сити - Слэйден, 23-10-2024. Пожалуйста, помогите мне найти подходящий рейс.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Мичиган-Сити - Слэйден, 23-10-2024. Пожалуйста, помогите мне найти подходящий рейс.
Ответ: {'departure_city': 'Мичиган-Сити', 'arrival_city': 'Слэйден', 'departure_date': '23-10-2024', 'return_date': ''}"
"{'departure_city': 'Фараб', 'arrival_city': 'Бухара', 'departure_date': '', 'return_date': '13-10-2023'}", Я хочу купить билет в Фараб - Бухару 13-10-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Фараб - Бухару 13-10-2023.
Ответ: {'departure_city': 'Фараб', 'arrival_city': 'Бухара', 'departure_date': '', 'return_date': '13-10-2023'}"
"{'departure_city': 'Трезевант', 'arrival_city': 'Огден', 'departure_date': '15-02-2024', 'return_date': '25-02-2024'}"," Я хочу купить билет в Трезеванте, номер TRZ001, на рейс в Огден, дата отправления - 15-02-2024, дата возвращения - 25-02-2024.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Трезеванте, номер TRZ001, на рейс в Огден, дата отправления - 15-02-2024, дата возвращения - 25-02-2024.
Ответ: {'departure_city': 'Трезевант', 'arrival_city': 'Огден', 'departure_date': '15-02-2024', 'return_date': '25-02-2024'}"
"{'departure_city': 'Талса', 'arrival_city': 'Ванджиогала', 'departure_date': '26-07-2024', 'return_date': ''}"," Я хочу купить билет в Талса - Ванджиогала, 26-07-2024.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Талса - Ванджиогала, 26-07-2024.
Ответ: {'departure_city': 'Талса', 'arrival_city': 'Ванджиогала', 'departure_date': '26-07-2024', 'return_date': ''}"
"{'departure_city': 'Тырва', 'arrival_city': 'Сандиа', 'departure_date': '10-02-2024', 'return_date': '07-03-2024'}"," Я хочу купить билет из Тырвы в Сандиа. Отправление 10-02-2024, возвращение 07-03-2024. Пожалуйста, дайте мне цену и возможные рейсы.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет из Тырвы в Сандиа. Отправление 10-02-2024, возвращение 07-03-2024. Пожалуйста, дайте мне цену и возможные рейсы.
Ответ: {'departure_city': 'Тырва', 'arrival_city': 'Сандиа', 'departure_date': '10-02-2024', 'return_date': '07-03-2024'}"
"{'departure_city': 'Кличка', 'arrival_city': 'Вани', 'departure_date': '24-10-2024', 'return_date': ''}"," ""Я хочу купить билет из Клички в Вани 24-10-2024""",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  ""Я хочу купить билет из Клички в Вани 24-10-2024""
Ответ: {'departure_city': 'Кличка', 'arrival_city': 'Вани', 'departure_date': '24-10-2024', 'return_date': ''}"
"{'departure_city': 'Ловер-Мерион', 'arrival_city': 'Нефтеюганск', 'departure_date': '', 'return_date': '09-10-2024'}"," ""Я хочу купить билет в Ловер-Мерион - Нефтеюганск 09-10-2024""",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  ""Я хочу купить билет в Ловер-Мерион - Нефтеюганск 09-10-2024""
Ответ: {'departure_city': 'Ловер-Мерион', 'arrival_city': 'Нефтеюганск', 'departure_date': '', 'return_date': '09-10-2024'}"
